,coefficient
cpu_usage,3.9590041160612413
packet_loss,3.653291705812655
dtype_server,-3.0937889994649685
dtype_firewall,-3.0775910629267997
dtype_access_point,2.6170371440216607
interface_errors,2.2478375327766202
memory_usage,2.109807025809007
packet_loss_ma6,-1.9518883593265997
dtype_router,1.92701763918963
dtype_switch,1.9128586063294746
latency,1.828826876205767
temperature_ma6,1.446062049435193
temperature,1.2381623698884572
cpu_usage_ma6,-1.1105120412153333
latency_ma6,-0.9171783670793009
previous_failures,0.7915931331742609
bandwidth_usage,0.6179193868557271
packet_loss_std6,0.43606171902991664
active_connections,-0.40902066119619906
uptime_hours,-0.38680441635567586
uptime_days,-0.3868044163556129
temperature_anomaly,0.2823204334272057
latency_std6,-0.25497664579034035
loss_over_latency,0.2161070221364814
cpu_spike_flag,-0.1347382492296089
cpu_spike,-0.12148658728845192
interface_errors_trend,0.1003210066960559
traffic_in,-0.08333707199858008
maintenance_days,0.08214863727619365
traffic_out,0.07624611006872428
traffic_out_growth_pct,-0.07353378977576945
interface_errors_std6,-0.07268441852132815
packet_loss_trend,-0.07151842262277158
temperature_anomaly_flag,0.06681524031310296
error_rate,0.058172679605745264
temperature_std6,-0.05302406458226316
latency_trend,0.05155033553331276
interface_errors_ma6,-0.041186997890741664
recent_failure_flag,0.04028110763483475
cpu_usage_trend,0.019457815444212375
cpu_usage_std6,-0.01438489057645391
bandwidth_usage_trend,0.0071888970620441256
traffic_in_growth_pct,0.005490156333192029
long_uptime_flag,0.0
